hanzi,meaning
我,I/me
你,You
他,He/him
我们,We/us
她,She/her
喜欢,Like
学习,Study
学校,School
老师,Teacher
朋友,Friend
谢谢,Thank you
是,Is/am/are
有,Have
看,Look
吃,Eat
喝,Drink
睡觉,Sleep
跑步,Run
走,Walk
来,Come
去,Go
坐,Sit
站,Stand
跳,Jump
高兴,Happy
悲伤,Sad
好,Good
坏,Bad
大,Big
小,Small
长,Tall/Long
短,Short
新,New
旧,Old (for objects)
早,Early
晚,Late
快,Fast
慢,Slow
近,Near
远,Far
左,Left
右,Right
前,Front
后,Back
上,Up
下,Down
里面,Inside
外面,Outside
问,Ask
回答,Answer
说,Say
听,Hear
读,Read
写,Write
学习,Learn
教,Teach
买,Buy
卖,Sell
工作,Work
上班,Go to work
下班,Get off work
忙,Busy
闲,Free/Not busy
开,Open
关,Close
门,Door
窗,Window
书,Book
笔,Pen
纸,Paper
电脑,Computer
手机,Mobile phone
电视,Television
电影,Movie
音乐,Music
歌,Song
跳舞,Dance
画,Draw
唱歌,Sing
游泳,Swim
运动,Sports
足球,Football/Soccer
篮球,Basketball
网球,Tennis
乒乓球,Table tennis
跑步,Jog
游泳池,Swimming pool
医院,Hospital
医生,Doctor
护士,Nurse
药,Medicine
生病,Get sick
头,Head
手,Hand
脚,Foot
眼睛,Eye
鼻子,Nose
嘴,Mouse
耳朵,Ear
头发,Hair
衣服,Clothes
鞋,Shoes
裤子,Pants
裙子,Skirt
雨伞,Umbrella
